Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	neo_beta_cats[1]	neo_beta_cats[2]	neo_beta_cats[3]	neo_beta_cats[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	tree_length	two_beta	two_beta_cats[1]	two_beta_cats[2]	two_beta_cats[3]	two_beta_cats[4]
360	-414.2744	-425.3306	11.05621	0.275137	0.0812068	0.260559	0.0186113	0.00140942	0.00612792	0.00050566	0.106485	0.116266	0.15381	0.00234009	0.0207281	0.00958089	0.0201746	0.0785395	0.831653	0.0207012	0.00172659	0.145919	0.2915194	0.0146208	0.248506	0.751494	0.985379	0.149314	0.395555	0.748748	1.33556	2.5281	6.6973	1.375064	0.238942	0.0705238	0.226282	0.016163	0.00122401	0.00532178	0.000439139	0.0924765	0.100971	0.133576	0.00203224	0.0180013	0.00832049	0.0175206	0.0682074	1.151481	0.0415621	2.13854e-09	0.053456	0.946544	1
396	-414.513	-425.2884	10.77538	0.173801	0.29986	0.43244	0.0214486	0.0024743	0.00663098	0.00363354	0.0510826	0.22398	0.00724964	0.190339	0.0308302	0.232814	0.0409286	0.0768779	0.93306	0.00837964	0.00216939	0.0563915	0.3200717	0.0189188	0.260627	0.739373	0.981081	0.189864	0.444728	0.776626	1.28762	2.24857	5.26694	1.201343	0.0968578	0.16711	0.240996	0.0119531	0.00137891	0.0036954	0.00202494	0.028468	0.124822	0.00404017	0.106074	0.0171814	0.129745	0.0228092	0.0428435	1.794389	1.084362	0.134929	0.380623	0.619377	0.86507
432	-414.6263	-426.775	12.14874	0.172864	0.107763	0.198559	0.0164266	0.00192912	0.00522979	0.00260488	0.108783	0.0241504	0.0783791	0.0232063	0.246553	0.0787054	0.13806	0.0598218	0.592706	0.226564	0.0740303	0.106699	0.4059436	0.0332659	0.290003	0.709997	0.966734	0.389984	0.631761	0.866515	1.15405	1.58288	2.5642	0.6808766	0.136864	0.0853204	0.157208	0.0130056	0.00152737	0.00414065	0.0020624	0.0861284	0.0191209	0.0620561	0.0183734	0.195207	0.0623145	0.109308	0.0473635	1.263035	0.8819358	0.109857	0.365688	0.634312	0.890143
468	-408.1625	-420.1861	12.02358	0.0564757	0.0443509	0.107256	0.0108637	0.000217572	0.00176283	0.00298808	0.0443331	0.0347888	0.00477004	0.0467229	0.0152951	0.0233837	0.015103	0.0418211	0.943831	0.02989	0.00278123	0.0234975	0.1956067	0.00364883	0.19545	0.80455	0.996351	0.100261	0.325723	0.704722	1.419	3.07009	9.97401	1.663046	0.125465	0.0985286	0.238276	0.0241344	0.000483351	0.00391626	0.00663822	0.0984891	0.0772857	0.010597	0.103798	0.0339792	0.0519486	0.0335523	0.0929085	0.4501322	0.6885013	0.0815442	0.34506	0.65494	0.918456
504	-410.1153	-422.5123	12.39701	0.299998	0.153277	0.220439	0.0608159	0.00634918	0.0068757	0.0119334	0.0715093	0.0612919	0.010322	0.158643	0.0804408	0.0254063	0.00692325	0.037276	0.882918	0.0334355	0.0217983	0.0618485	0.4552687	0.0419435	0.303237	0.696763	0.958057	0.423401	0.657606	0.877422	1.1397	1.52067	2.36183	0.6214319	0.247625	0.126518	0.181956	0.0501988	0.00524075	0.00567535	0.00985013	0.0590254	0.0505917	0.00851999	0.130947	0.0663976	0.020971	0.00571461	0.0307684	1.211501	0.717678	0.0861056	0.348739	0.651261	0.913894
540	-409.7048	-421.9244	12.21956	0.121708	0.0154616	0.053909	0.0284457	0.00452329	0.00517851	0.00161765	0.194087	0.00953292	0.101777	0.117871	0.0390641	0.0122157	0.022158	0.00288268	0.887965	0.0502496	0.00212684	0.0596589	0.3330433	0.0209724	0.265696	0.734304	0.979027	0.0909746	0.310644	0.694377	1.44014	3.21912	10.9921	1.733323	0.166625	0.0211677	0.0738042	0.0389437	0.00619261	0.00708964	0.00221465	0.265716	0.0130511	0.139338	0.161371	0.0534808	0.0167239	0.0303355	0.00394654	0.7304331	0.2001456	0.00401001	0.198479	0.801521	0.99599
576	-414.9159	-427.7699	12.85403	0.0777154	0.0124066	0.0181324	0.00439759	0.0023059	0.00580334	0.00637009	0.160289	0.0498929	0.000592491	0.0237513	0.0324802	0.0506631	0.100205	0.0420111	0.167203	0.817862	0.0142138	0.000720769	0.1421033	0.000778318	0.155072	0.844928	0.999222	0.23994	0.498511	0.804785	1.24257	2.00597	4.1677	1.032083	0.13239	0.0211349	0.0308891	0.00749141	0.00392816	0.00988615	0.0108516	0.273057	0.0849939	0.00100932	0.040461	0.0553309	0.086306	0.170703	0.071567	0.5870172	0.3834011	0.0293645	0.283166	0.716834	0.970635
612	-408.2943	-420.1506	11.85628	0.173	0.0328073	0.109273	0.01488	0.00130507	0.00716794	0.00730343	0.104995	0.0180153	0.0532981	0.019233	0.0433103	0.0763985	0.0222651	0.0728781	0.886034	0.0835325	0.00168312	0.0287505	0.2910937	0.0145594	0.248314	0.751686	0.985441	0.21282	0.470186	0.790231	1.26545	2.12682	4.69881	1.118812	0.228797	0.0433885	0.144516	0.0196792	0.00172598	0.00947977	0.00965897	0.138858	0.0238256	0.070488	0.025436	0.0572789	0.101039	0.0294461	0.096383	0.75613	1.325572	0.159812	0.393383	0.606617	0.840188
648	-414.8485	-426.3416	11.49305	0.451292	0.0402244	0.153026	0.0828178	0.00079524	0.00462207	0.00472069	0.248693	0.0803949	0.0562218	0.0315025	0.0547449	0.183639	0.0170195	0.0412604	0.795357	0.0868091	0.00259218	0.115242	0.422186	0.0361088	0.294606	0.705394	0.963891	0.207272	0.464168	0.787062	1.27055	2.15439	4.82458	1.13791	0.311027	0.0277223	0.105465	0.0570774	0.000548073	0.0031855	0.00325347	0.171397	0.0554076	0.0387476	0.0217113	0.0377298	0.126562	0.0117297	0.0284363	1.450973	0.8311159	0.102854	0.361027	0.638973	0.897146
684	-424.8962	-434.9797	10.08355	0.0177907	0.0421161	0.0197276	0.025916	0.00339418	0.00154742	0.00287326	0.0277007	0.00670038	0.00863509	0.00708185	0.00905984	0.0374525	0.00373414	0.0122931	0.845085	0.0540671	0.0249199	0.0759278	0.3739039	0.0277419	0.280116	0.719884	0.972258	0.0554637	0.244034	0.644014	1.55276	4.0978	18.0298	2.091135	0.078712	0.186335	0.0872813	0.114661	0.015017	0.00684632	0.0127123	0.122557	0.0296447	0.0382045	0.0313324	0.0400837	0.165702	0.0165211	0.0543889	0.2260229	2.063436	0.213697	0.416422	0.583578	0.786304
720	-418.6784	-426.9465	8.268063	0.0610564	0.0268632	0.0450314	0.00788289	0.000243412	0.00410724	0.00913009	0.0118176	0.00582666	0.0308292	0.0608701	0.0195578	0.00972057	0.0373432	0.0682165	0.911138	0.0231636	0.00662344	0.0590752	0.2805318	0.0130644	0.243455	0.756545	0.986936	0.0361657	0.198097	0.603446	1.65715	5.04804	27.6505	2.400332	0.153217	0.0674114	0.113003	0.0197816	0.000610827	0.0103069	0.0229114	0.0296555	0.0146216	0.0773639	0.152749	0.0490791	0.0243931	0.0937104	0.171185	0.3984963	5.348661	0.312207	0.449469	0.550531	0.687792
756	-421.4186	-433.2212	11.80253	0.250415	0.117095	0.153016	0.0326199	0.00489264	0.00181087	0.0122036	0.0059915	0.0695575	0.0144012	0.0384484	0.0704714	0.141896	0.0896084	0.0228288	0.469136	0.447049	0.00264241	0.0811732	0.07708706	7.94528e-06	0.0934093	0.906591	0.999992	0.198967	0.455002	0.78218	1.27848	2.19779	5.02596	1.167479	0.244246	0.114211	0.149247	0.0318164	0.00477211	0.00176626	0.0119029	0.0058439	0.067844	0.0140464	0.0375013	0.0687353	0.138401	0.087401	0.0222664	1.025257	0.5993028	0.0669793	0.332082	0.667918	0.933021
792	-408.4238	-418.5074	10.08366	0.100949	0.0409287	0.114263	0.00427532	0.000679134	0.00329919	0.0111478	0.0616511	0.00408199	0.0421584	0.0692846	0.00263094	0.0118008	0.0242397	0.000557215	0.805287	0.14197	0.0210728	0.0316704	0.02872022	8.80507e-13	0.0377801	0.96222	1	0.0715096	0.27623	0.669402	1.49387	3.62017	13.9841	1.9074	0.205204	0.0831972	0.232267	0.00869059	0.0013805	0.00670639	0.0226606	0.125321	0.00829762	0.085697	0.140837	0.00534802	0.023988	0.0492729	0.00113267	0.4919476	0.7053158	0.0841856	0.34721	0.65279	0.915815
828	-408.1568	-420.031	11.87413	0.205594	0.0238372	0.0589025	0.0048854	0.0027375	0.00457019	0.00124106	0.122272	0.0335724	0.0716893	0.151386	0.0903555	0.045677	0.0656158	0.00663679	0.573648	0.372461	0.0265937	0.0272979	0.07024022	3.06081e-06	0.0860734	0.913927	0.999997	0.153261	0.40062	0.751727	1.33027	2.49613	6.52481	1.356197	0.231271	0.0268143	0.066259	0.00549555	0.00307939	0.00514097	0.00139605	0.137543	0.0377654	0.0806428	0.170293	0.10164	0.0513817	0.0738108	0.00746567	0.8889737	0.3776662	0.0283829	0.281337	0.718663	0.971617
864	-413.4986	-423.5286	10.03	0.359897	0.0336512	0.107479	0.00712194	0.00225996	0.00397487	0.0199521	0.444245	0.0297668	0.0739101	0.266086	0.126868	0.0980445	0.104523	0.000361451	0.395537	0.208453	0.0499799	0.34603	0.04896411	3.07957e-08	0.0621797	0.93782	1	0.261019	0.519409	0.815163	1.22675	1.92526	3.83114	0.971198	0.214462	0.0200527	0.0640467	0.00424395	0.0013467	0.00236862	0.0118894	0.264725	0.0177379	0.0440428	0.15856	0.0756002	0.0584245	0.0622848	0.000215388	1.678141	1.286865	0.156133	0.391601	0.608399	0.843867
900	-411.9261	-424.6446	12.71845	0.115968	0.00329785	0.0747767	0.0299666	0.00310688	0.0125087	0.00516287	0.131783	0.105653	0.00551051	0.0122323	0.0447651	0.0363349	0.0151258	0.104224	0.847696	0.104708	0.0196304	0.0279661	0.4109595	0.0341415	0.291452	0.708548	0.965858	0.187797	0.44236	0.775334	1.28977	2.2606	5.3249	1.209256	0.16557	0.00470842	0.10676	0.042784	0.00443576	0.0178589	0.00737114	0.18815	0.150843	0.00786748	0.0174643	0.0639121	0.0518762	0.0215955	0.148803	0.7004164	0.228298	0.00664149	0.216004	0.783996	0.993359
936	-415.0186	-424.8627	9.844095	0.230031	0.0125925	0.115226	0.000843169	0.000471781	0.00323801	0.010433	0.0617487	0.0442698	2.38256e-05	0.00916526	0.046451	0.0668067	0.0502209	0.0828933	0.139495	0.452136	0.147681	0.260689	0.02250892	8.98063e-16	0.0299397	0.970027	1.00003	0.087938	0.305543	0.6908	1.4476	3.27286	11.3716	1.757869	0.313217	0.0171463	0.156895	0.00114808	0.00064239	0.00440896	0.0142058	0.0840787	0.060279	3.24416e-05	0.0124797	0.0632489	0.0909658	0.0683821	0.11287	0.7344154	0.6109836	0.0689371	0.333951	0.666049	0.931063
972	-411.1137	-421.2932	10.17957	0.20867	0.0721813	0.174352	0.00167266	0.00224597	0.0154266	0.0156062	0.0993311	0.0580771	2.71101e-05	0.0746387	0.0436755	0.0356498	0.046804	0.142797	0.871944	0.0720162	0.0149009	0.0411387	0.03219124	1.32041e-11	0.0420869	0.957913	1	0.238903	0.497459	0.804255	1.24339	2.01022	4.18579	1.035215	0.210532	0.0728254	0.175908	0.00168759	0.00226601	0.0155643	0.0157455	0.100217	0.0585954	2.7352e-05	0.0753047	0.0440652	0.0359679	0.0472216	0.144072	0.9911556	1.367052	0.163634	0.395201	0.604799	0.836365
1008	-410.861	-421.4654	10.60442	0.437272	0.0213679	0.056138	0.0227228	0.00123896	0.0103968	0.00457066	0.266761	0.105387	0.00310631	0.048269	0.0703503	0.17284	0.0498102	0.272643	0.45595	0.413501	0.0564989	0.07405	0.0474311	1.89479e-08	0.0603911	0.939609	1	0.18448	0.438532	0.773234	1.29327	2.28033	5.42065	1.222142	0.283414	0.0138494	0.0363854	0.0147276	0.000803019	0.00673862	0.00296243	0.172899	0.0683056	0.00201333	0.0312851	0.045597	0.112024	0.0322841	0.176711	1.542874	0.6138767	0.0694198	0.334405	0.665595	0.93058
1044	-409.2638	-419.8676	10.60377	0.445482	0.0270906	0.0396822	0.0356086	0.00260219	0.00676143	0.013198	0.157128	0.179948	0.122924	0.147997	0.0881324	0.0206998	0.0613443	0.263109	0.589016	0.26483	0.0274204	0.118733	0.05612277	2.11143e-07	0.0704101	0.92959	1	0.351286	0.600368	0.852846	1.17255	1.66564	2.84668	0.7564417	0.276404	0.0168086	0.0246212	0.0220937	0.00161455	0.00419519	0.00818885	0.0974918	0.111651	0.0762692	0.0918264	0.0546826	0.0128434	0.0380617	0.163248	1.611708	1.167723	0.14408	0.385518	0.614482	0.85592
1080	-410.0509	-421.1301	11.07926	0.36516	0.0181767	0.0396553	0.00715314	0.00136865	0.0200872	0.0068392	0.102501	0.280243	0.0369817	0.105808	0.208395	0.0621967	0.0817211	0.109234	0.214043	0.553515	0.060296	0.172146	0.04738157	1.86433e-08	0.0603331	0.939667	1	0.458052	0.683325	0.887987	1.12614	1.46343	2.18316	0.5645526	0.252615	0.0125745	0.0274333	0.00494849	0.00094682	0.0138962	0.00473131	0.0709091	0.19387	0.0255837	0.0731969	0.144166	0.0430273	0.0565341	0.0755672	1.445519	0.06949619	2.72941e-06	0.0852661	0.914734	0.999997
1116	-414.8475	-426.3241	11.47664	0.21126	0.0257682	0.0311704	0.00772095	0.00832224	0.0126556	0.00117673	0.0516951	0.133692	0.0798362	0.09587	0.127958	0.0334852	0.0450232	0.0867007	0.00780622	0.915418	0.0650534	0.0117225	0.0398677	1.01391e-09	0.0514276	0.948572	1	0.219905	0.477756	0.794179	1.25916	2.09312	4.54742	1.095131	0.221834	0.0270579	0.0327305	0.00810739	0.00873878	0.013289	0.00123563	0.0542825	0.140384	0.0838321	0.100668	0.134362	0.0351611	0.0472766	0.0910402	0.9523343	0.1978666	0.00382639	0.196965	0.803035	0.996174
1152	-412.9931	-423.4764	10.48336	0.23124	0.0310159	0.0574946	0.0272899	0.00784337	0.0222796	0.00180485	0.12711	0.048785	0.00722698	0.296778	0.109959	0.0898202	0.0994316	0.117124	0.794054	0.123399	0.0216093	0.0609382	0.3343674	0.0211851	0.2662	0.7338	0.978815	0.318923	0.572726	0.840396	1.18992	1.74604	3.13555	0.8263261	0.181336	0.0243223	0.0450866	0.0214004	0.00615068	0.0174714	0.00141534	0.0996783	0.0382566	0.00566732	0.23273	0.0862287	0.070436	0.0779732	0.091847	1.275203	2.840643	0.249996	0.429598	0.570403	0.750003
1188	-415.6439	-427.0302	11.38633	0.0613389	0.00572282	0.0522907	0.0156181	0.00121047	0.0151855	0.0188223	0.0682609	0.0251602	0.0143521	0.17647	0.0264963	0.0875487	0.0419165	0.055994	0.72519	0.191927	0.0214	0.061483	1.053362	0.131362	0.378643	0.621358	0.868638	0.180517	0.433913	0.770684	1.29755	2.30461	5.53964	1.237843	0.092047	0.00858782	0.078469	0.023437	0.00181647	0.0227879	0.0282452	0.102434	0.0377561	0.0215372	0.264815	0.0397611	0.131378	0.0629011	0.0840263	0.6663872	0.9794169	0.122468	0.373509	0.626491	0.877532
1224	-413.6621	-425.9382	12.2761	0.118145	0.019778	0.0347391	0.00559808	0.000542157	0.0106938	0.00396972	0.0297108	0.0364445	0.0243789	0.0584812	0.00948778	0.0522519	0.00665514	0.0242659	0.572757	0.277931	0.0193447	0.129968	0.1809207	0.00260623	0.185244	0.814756	0.997394	0.0893021	0.307845	0.692419	1.44421	3.24839	11.198	1.74674	0.27151	0.0454517	0.0798338	0.012865	0.00124593	0.0245753	0.00912282	0.0682783	0.0837531	0.056025	0.134396	0.0218039	0.12008	0.0152942	0.0557654	0.4351422	0.2989093	0.0157001	0.251778	0.748222	0.9843
1260	-410.5826	-421.0133	10.43073	0.203468	0.00329982	0.183105	0.0127731	0.00173706	0.00489837	0.0216119	0.175128	0.049321	0.0927925	0.16861	0.1001	0.0599554	0.06123	0.0585301	0.454631	0.317916	0.0313983	0.196055	0.03464477	6.48992e-11	0.0450996	0.9549	1	0.133295	0.374256	0.73593	1.35882	2.67197	7.50217	1.457123	0.170044	0.00275776	0.153026	0.0106749	0.00145171	0.00409371	0.0180617	0.146359	0.041219	0.0775494	0.140913	0.0836567	0.0501065	0.0511717	0.0489153	1.19656	0.1095885	0.000151295	0.126017	0.873983	0.999849
1296	-415.3104	-427.4198	12.10934	0.126753	0.00833916	0.0408494	0.000155592	0.00650661	0.00438245	0.0027212	0.0502166	0.0253816	0.041572	0.0745102	0.0928772	0.0346836	0.0594943	0.0240387	0.597399	0.300103	0.0406352	0.0618632	0.08030182	1.17769e-05	0.0967965	0.903203	0.999988	0.129073	0.368428	0.732335	1.36549	2.71424	7.74755	1.480394	0.213935	0.014075	0.0689463	0.00026261	0.010982	0.00739677	0.00459289	0.0847565	0.0428395	0.070166	0.12576	0.15676	0.0585395	0.100415	0.0405729	0.5924811	0.2238712	0.00618479	0.213386	0.786614	0.993815
1332	-415.4305	-424.6936	9.263089	0.267945	0.0763274	0.106673	0.00187805	0.012288	0.0133247	0.0146772	0.1237	0.0955265	0.121864	0.0328792	0.209944	0.101992	0.0491873	0.127792	0.389744	0.562389	0.0427747	0.0050926	0.04462492	7.15976e-09	0.0570926	0.942907	1	0.322959	0.576248	0.842005	1.18764	1.73536	3.09637	0.8172349	0.1976	0.0562888	0.0786672	0.001385	0.00906194	0.00982652	0.0108239	0.0912247	0.0704474	0.0898703	0.0242473	0.154826	0.0752154	0.0362739	0.094242	1.355997	2.963817	0.254589	0.431167	0.568833	0.74541
1368	-409.514	-420.8109	11.29689	0.110802	0.0216754	0.0385434	0.0120179	0.00291183	0.00177786	0.000340991	0.0228381	0.0138512	0.00299018	0.0588354	0.0212611	0.0151617	0.0205247	0.0158227	0.214748	0.25742	0.0201942	0.507638	0.05538457	1.77047e-07	0.0695706	0.930429	1	0.0859321	0.302124	0.688378	1.45269	3.3099	11.6371	1.774554	0.308337	0.0603176	0.107257	0.033443	0.00810295	0.00494736	0.000948899	0.0635531	0.0385446	0.00832098	0.163725	0.0591647	0.0421915	0.0571155	0.0440308	0.3593547	0.1375026	0.00064591	0.151174	0.848826	0.999354
1404	-411.3954	-423.383	11.9876	0.0564473	0.0031016	0.000326277	0.00205932	0.00231892	0.00318185	5.92155e-05	0.0638863	0.0121633	0.00334294	0.0932464	0.0347124	0.0317991	0.0438858	0.0572839	0.795099	0.126802	0.0136783	0.064421	0.3579615	0.0250548	0.274752	0.725248	0.974945	0.060997	0.255618	0.653401	1.53045	3.91208	16.3942	2.022373	0.138414	0.00760541	0.000800061	0.00504965	0.0056862	0.0078022	0.000145202	0.156655	0.0298256	0.00819721	0.228649	0.085118	0.0779745	0.107612	0.140465	0.4078147	0.2174492	0.00554994	0.209499	0.790501	0.99445
1440	-415.8194	-426.3233	10.5039	0.0979841	0.00901749	0.0729511	0.00888042	0.00395744	0.00693924	0.00793834	0.101249	0.0239711	0.0555898	0.0138682	0.136521	0.0642081	0.0258128	0.0334946	0.79438	0.0879079	0.0950186	0.0226938	0.7452475	0.0903204	0.352002	0.647998	0.90968	0.107446	0.336906	0.712183	1.40413	2.96819	9.30701	1.612999	0.147927	0.0136137	0.110134	0.0134068	0.00597454	0.0104762	0.0119845	0.152856	0.0361891	0.0839239	0.0209368	0.206106	0.0969349	0.0389695	0.0505668	0.6623835	1.917158	0.20497	0.413016	0.586984	0.795029
1476	-412.5189	-423.3097	10.79077	0.147585	0.00661175	0.0459082	0.00497073	0.00449167	0.00374894	0.00787737	0.130366	0.0121073	0.0107882	0.0478665	0.107218	0.0776603	0.016619	0.0298238	0.6668	0.152558	0.0120019	0.16864	0.05347726	1.09894e-07	0.0673917	0.932608	1	0.177929	0.430867	0.768992	1.3004	2.3209	5.62023	1.248286	0.225789	0.0101152	0.0702345	0.00760466	0.00687176	0.00573546	0.0120515	0.199445	0.0185228	0.0165048	0.0732304	0.164032	0.118812	0.0254252	0.0456271	0.6536426	1.477132	0.173221	0.399619	0.600382	0.826778
