Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	neo_beta_cats[1]	neo_beta_cats[2]	neo_beta_cats[3]	neo_beta_cats[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	tree_length	two_beta	two_beta_cats[1]	two_beta_cats[2]	two_beta_cats[3]	two_beta_cats[4]
0	-415.9864	-427.3078	11.32141	0.0414617	0.00717179	0.0318071	0.00375688	0.000548901	0.00228886	0.000148285	0.0178837	0.00400064	0.036395	0.0079486	0.0270739	0.0186372	0.03752	0.00193881	0.386695	0.218895	0.0130205	0.38139	0.1176364	0.000246034	0.133538	0.866462	0.999754	0.0493169	0.230447	0.632607	1.58076	4.3394	20.277	2.176068	0.173784	0.0300601	0.133317	0.0157467	0.00230069	0.00959361	0.000621529	0.0749587	0.0167684	0.152548	0.0333161	0.113479	0.0781169	0.157263	0.00812641	0.2385815	0.4872798	0.0476004	0.310753	0.689247	0.9524
36	-412.7072	-423.4462	10.73899	0.0264136	0.0674095	0.00410944	0.00636781	0.000908745	0.00143311	0.00131117	0.0689058	0.0378217	0.0274036	0.0173615	0.019314	0.0102009	0.00445857	0.0425043	0.911824	0.00907634	0.0255186	0.0535808	0.2947363	0.0150875	0.249942	0.750058	0.984912	0.0625309	0.258733	0.655874	1.52468	3.86498	15.9921	2.004416	0.0786299	0.200669	0.0122333	0.0189561	0.00270522	0.00426618	0.00390317	0.205123	0.11259	0.0815769	0.0516828	0.0574952	0.0303666	0.0132726	0.12653	0.3359235	1.623935	0.184876	0.404739	0.595261	0.815124
72	-414.4917	-425.1837	10.69191	0.184019	0.283814	0.0581193	0.0279021	0.00481857	0.00865758	0.000387395	0.0961356	0.11476	0.0943104	0.0607878	0.0686843	0.0125556	0.127465	0.160388	0.869516	0.0125571	0.0235955	0.0943316	0.4709121	0.0447095	0.307005	0.692995	0.955291	0.267776	0.525924	0.818339	1.22199	1.90142	3.73447	0.9527191	0.141248	0.217849	0.0446109	0.021417	0.00369861	0.00664534	0.000297355	0.0737912	0.0880866	0.0723903	0.0466591	0.0527203	0.0096374	0.097839	0.12311	1.302805	2.121506	0.216957	0.417668	0.582332	0.783042
108	-413.0211	-423.0047	9.98357	0.911925	0.0498209	0.033373	0.0478666	0.00327062	0.0119704	4.41635e-05	0.26041	0.00325506	0.0581504	0.426657	0.0120676	0.258943	0.0985956	0.358732	0.904842	0.0567407	0.0226724	0.015745	0.4127434	0.0344535	0.291962	0.708038	0.965546	0.161148	0.410545	0.757488	1.32015	2.43579	6.20549	1.319915	0.359722	0.0196526	0.0131645	0.0188817	0.00129015	0.00472191	1.7421e-05	0.102722	0.00128401	0.0229383	0.168301	0.00476026	0.102144	0.0388925	0.141507	2.535081	0.5705937	0.0621089	0.327237	0.672763	0.937891
144	-409.6228	-421.4955	11.87273	0.262323	0.0406355	0.236836	0.00288912	0.00228846	0.00641261	0.00114829	0.102474	0.000757207	0.049438	0.100373	0.106066	0.039414	0.120987	0.113308	0.873919	0.0476721	0.0247182	0.0536908	0.4646109	0.0435954	0.30551	0.69449	0.956405	0.170475	0.421968	0.764001	1.3089	2.36985	5.86595	1.279228	0.221304	0.0342814	0.199803	0.00243736	0.00193062	0.00540989	0.000968734	0.0864507	0.000638805	0.0417076	0.0846779	0.0894806	0.033251	0.102068	0.0955905	1.185349	0.6118988	0.0690899	0.334095	0.665905	0.93091
180	-416.779	-428.4956	11.71665	0.217445	0.0516546	0.327741	0.022701	0.0051721	0.0155534	0.0447371	0.298556	0.00917612	0.123202	0.287226	0.0631728	0.289931	0.0512683	0.0304058	0.671426	0.0975563	0.00719859	0.223819	0.3508988	0.0238816	0.272272	0.727728	0.976118	0.268815	0.526918	0.818821	1.22127	1.89783	3.72003	0.9499181	0.118309	0.0281046	0.17832	0.0123513	0.00281407	0.00846239	0.0243408	0.16244	0.0049926	0.0670327	0.156276	0.0343715	0.157748	0.0278944	0.0165434	1.837943	0.2365316	0.00753093	0.220744	0.779256	0.992469
216	-409.3629	-422.3283	12.96545	0.154213	0.0213641	0.0768813	0.00813211	0.00236825	0.0129961	0.0196188	0.142509	0.0211155	0.0304067	0.0579112	0.0428769	0.152258	0.00975035	0.0671552	0.814168	0.0628276	0.0170823	0.105922	0.3528834	0.0242101	0.272975	0.727025	0.97579	0.27816	0.535774	0.82309	1.21493	1.86646	3.59505	0.9252081	0.188166	0.0260679	0.0938085	0.00992258	0.00288968	0.0158575	0.0239384	0.173886	0.0257645	0.0371014	0.0706617	0.0523172	0.185781	0.0118971	0.0819409	0.8195564	0.2235338	0.00615062	0.213185	0.786815	0.993849
252	-411.0548	-423.0015	11.94667	0.120287	0.0818586	0.0373251	0.00912539	0.00053024	0.00111992	0.00127057	0.025479	0.00457485	0.00772262	0.0688603	0.0249339	0.0132517	0.013644	0.0240004	0.829176	0.0718337	0.013135	0.0858552	0.4128272	0.0344682	0.291986	0.708014	0.965532	0.120379	0.356108	0.724606	1.38006	2.80814	8.30711	1.530818	0.27717	0.188621	0.0860057	0.021027	0.0012218	0.00258055	0.00292769	0.0587095	0.0105415	0.0177947	0.15867	0.0574536	0.0305351	0.0314389	0.0553025	0.4339838	0.8202837	0.101322	0.359973	0.640026	0.898678
288	-410.181	-422.4241	12.24303	0.107364	0.019591	0.0536854	0.0142684	0.00156433	0.00561123	0.00473091	0.0793106	0.0257285	0.0455101	0.0148842	0.0184753	0.0698301	0.0726008	0.0413369	0.698305	0.137591	0.0155957	0.148508	0.3462437	0.0231149	0.2706	0.7294	0.976885	0.161678	0.411203	0.757867	1.31949	2.43189	6.18515	1.31754	0.186885	0.0341014	0.0934485	0.0248366	0.00272298	0.0097673	0.00823495	0.138053	0.0447849	0.0792179	0.0259085	0.0321593	0.121551	0.126374	0.0719539	0.5744919	0.7900133	0.0969661	0.356905	0.643095	0.903034
324	-411.1619	-422.6895	11.52761	0.205234	0.00706777	0.0693186	0.0129962	6.67e-05	0.00307531	0.00140851	0.00431162	0.0699804	0.0253626	0.0411142	0.00305716	0.0121114	0.0247195	0.00949135	0.886104	0.0497677	0.0280502	0.0360782	0.5013114	0.0500725	0.31382	0.686181	0.949927	0.0380049	0.202948	0.608018	1.64469	4.92738	26.3124	2.364464	0.41943	0.0144442	0.141665	0.02656	0.000136313	0.00628493	0.00287854	0.00881155	0.143017	0.051833	0.084024	0.00624784	0.0247517	0.0505187	0.0193972	0.489315	0.3135152	0.0179028	0.257965	0.742035	0.982097
