Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-413.1456	-423.4886	10.34299	0.083779	0.80123	0.0607429	0.0542479	0.04757489	1.22983	1.166394	1.345782
6	-413.4264	-425.2716	11.84521	0.373029	0.373307	0.0237022	0.229962	0.06190459	1.146318	1.057667	0.2089413
12	-412.5986	-424.9786	12.37997	0.855332	0.0571766	0.046356	0.0411356	0.5460028	0.3293431	1.178563	0.9656423
18	-416.382	-427.2789	10.89692	0.791718	0.127298	0.0429083	0.0380762	0.5791546	0.4792855	1.603425	1.811892
24	-414.4264	-425.9403	11.51387	0.541345	0.310069	0.0517542	0.0968324	0.0581227	1.72373	0.5979041	0.364785
30	-415.451	-426.4664	11.01539	0.0343297	0.476527	0.100129	0.389014	0.03911227	0.9836595	1.386966	0.3960072
36	-416.5943	-426.4043	9.809999	0.290833	0.426763	0.0358733	0.246531	0.06999034	0.7217973	2.23221	1.31302
42	-420.1855	-431.6959	11.51034	0.868069	0.0169006	0.0793484	0.0356824	0.963019	1.283343	0.6757986	0.8966081
48	-419.329	-431.0663	11.73729	0.75097	0.201822	0.025744	0.0214632	0.3531653	1.709995	0.6757986	0.8555263
54	-414.9229	-426.8494	11.92656	0.390499	0.219324	0.0242935	0.365884	0.04888225	0.3714701	1.423683	0.2113141
60	-415.7355	-427.6704	11.93491	0.886849	0.0919262	0.00638004	0.0148448	0.299478	2.099412	0.5471869	0.3396012
66	-407.4036	-419.6502	12.2466	0.967491	0.0218685	0.00269807	0.0079422	0.299478	1.794687	0.4771138	0.1897411
72	-412.8601	-424.0454	11.1853	0.405126	0.466381	0.0425543	0.0859389	0.09925592	0.6691972	1.940584	0.7093559
78	-415.6729	-425.9937	10.32082	0.466527	0.369902	0.0954103	0.0681609	0.06246103	0.941353	1.664905	1.313933
84	-414.1258	-426.1915	12.06577	0.467744	0.434633	0.0515432	0.0460794	0.08457203	0.5490854	1.515547	0.4416048
90	-417.2495	-429.3525	12.10299	0.881262	0.0942685	0.00505856	0.0194114	0.5527515	0.3946356	0.942325	1.447052
96	-410.8519	-422.6072	11.75528	0.917496	0.0148535	0.0148835	0.0527674	0.5527515	0.2682325	1.364467	1.447052
102	-410.6169	-421.9009	11.28397	0.888245	0.0292229	0.0314471	0.0510851	0.5527515	1.129549	1.027783	1.447052
108	-405.4641	-417.8979	12.43374	0.907389	0.0298527	0.0105726	0.0521861	0.2948085	1.151125	0.4932714	0.8029716
114	-405.7876	-417.8467	12.05906	0.903062	0.0430286	0.00157137	0.0523383	0.2683083	1.323132	0.6919145	0.9497598
120	-409.0042	-420.3954	11.39126	0.921637	0.0223077	0.00116251	0.0548925	0.5337134	1.331776	0.8687585	1.29093
126	-404.303	-416.8381	12.53511	0.949584	0.0136086	0.00162872	0.0351792	0.2073633	1.496316	0.4756022	0.344786
132	-404.6494	-415.4474	10.79797	0.917855	0.00246217	0.000480624	0.0792025	0.2353243	2.056721	0.34483	1.511101
138	-400.0591	-411.7202	11.66114	0.917179	0.00285438	0.000822804	0.0791442	0.1686119	1.852451	0.3673392	0.7834686
144	-410.5365	-418.4309	7.894392	0.916427	0.00285204	0.00164212	0.0790793	0.1876992	1.767809	0.4062148	8.105051
150	-403.7967	-416.4824	12.68569	0.847721	0.00719132	0.00190453	0.143183	0.3076111	0.9872642	0.6467578	0.6800882
156	-405.3915	-417.8055	12.41406	0.828299	0.00609324	0.00161371	0.163994	0.3076111	1.442962	0.8809033	0.2051854
162	-401.5867	-412.7472	11.16054	0.827028	0.00761863	0.00161124	0.163742	0.221119	1.495541	0.775421	0.0376149
168	-408.9401	-420.5243	11.58423	0.824931	0.0101353	0.00160715	0.163327	0.221119	1.819376	0.5678514	0.9741179
174	-417.5153	-424.719	7.203718	0.843712	0.00983794	0.00752104	0.138929	0.2502289	2.025909	1.178795	8.053029
180	-409.2415	-420.7893	11.5478	0.83863	0.00989926	0.00810985	0.143361	0.5061299	1.548786	1.115686	0.7002182
186	-411.5902	-423.4648	11.87463	0.935424	0.0131513	0.00348772	0.0479367	0.6161095	1.611523	0.9765502	0.1970207
192	-412.3699	-425.0266	12.6567	0.154538	0.654246	0.0218748	0.169341	0.1375527	1.198428	0.741897	0.221422
198	-416.821	-428.1805	11.35953	0.367795	0.423504	0.0133164	0.195384	0.08637033	1.542302	0.7230385	0.9991003
204	-412.5079	-423.9262	11.41836	0.934677	0.0100103	0.0121961	0.0431164	0.4197323	0.8521106	1.524886	1.093156
210	-415.5888	-426.8259	11.23706	0.804169	0.0497407	0.0572338	0.0888564	0.3904121	1.494313	0.8767875	1.424063
216	-419.3837	-427.7256	8.341913	0.806755	0.0229465	0.0402015	0.130097	0.4711589	1.225239	1.09135	6.891468
222	-413.1748	-425.7215	12.54667	0.828022	0.0278863	0.0488558	0.0952354	0.4284424	0.498233	1.178889	0.7519677
228	-412.9075	-425.4329	12.52543	0.729132	0.0574553	0.0210937	0.192319	0.4284424	0.555234	1.147531	0.7519677
234	-408.1055	-420.3043	12.19882	0.819185	0.121544	0.0261838	0.0330877	0.5067425	0.9168549	1.349509	0.4055448
240	-406.1273	-418.0938	11.96646	0.907322	0.0328972	0.029608	0.0301731	0.4329781	1.235915	1.072153	0.7112956
246	-408.4368	-420.7986	12.36177	0.859628	0.0232274	0.0173825	0.0997618	0.4329781	0.5450768	1.258622	0.7899068
252	-409.3967	-420.2828	10.88615	0.16942	0.552062	0.0952681	0.18325	0.04455343	0.6425624	1.714534	0.1058621
258	-413.5345	-424.4993	10.96483	0.122637	0.500099	0.100151	0.277113	0.05982909	0.8501043	1.844617	0.136207
264	-412.7922	-424.7546	11.96238	0.754883	0.0203972	0.0381401	0.18658	0.4543379	0.379165	1.801771	0.6176515
270	-410.7775	-422.3537	11.57629	0.800156	0.0360726	0.0404275	0.123343	0.5440211	0.8186992	1.625006	0.7196125
276	-411.3933	-422.1197	10.72644	0.814849	0.0562301	0.0101419	0.118779	0.4582998	0.6856259	1.914817	1.38348
282	-425.1656	-433.4582	8.292604	0.728931	0.0161577	0.0249035	0.230008	0.5015896	1.497744	0.3937621	7.250282
288	-417.1221	-427.7104	10.58823	0.913269	0.0377612	0.00428938	0.0446805	0.4551327	1.544528	0.4759749	2.367261
294	-410.288	-422.5428	12.25479	0.808394	0.0747459	0.000435842	0.116424	0.341194	1.303241	1.169265	0.2359578
300	-411.066	-421.5287	10.4627	0.8097	0.021368	0.00100677	0.167925	0.286306	1.514759	0.6503459	2.731689
306	-410.4973	-421.5786	11.08134	0.791862	0.0225825	0.0013323	0.184224	0.286306	1.514759	0.6503459	1.849798
312	-410.664	-419.7329	9.068965	0.919541	0.0334846	0.000445906	0.0465282	0.2262474	1.514759	0.519159	5.614033
318	-405.0578	-416.0618	11.00395	0.870678	0.030774	2.69832e-05	0.0985206	0.2141928	1.514759	0.4736465	1.993867
324	-406.735	-417.0486	10.31354	0.868907	0.0688222	1.97544e-05	0.0622509	0.344909	1.791484	0.3876462	2.501062
330	-407.144	-417.5826	10.43863	0.881136	0.0556387	9.80495e-05	0.063127	0.3047447	1.789373	0.5441996	2.391093
